#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Polymath education focus;;;;;;;;;;;;;;x
focus_ed_polymath;Polymath;;;;;;;;;;;;;x
focus_ed_polymath_title;Polymath Education;;;;;;;;;;;;;x
focus_ed_polymath_desc;[This.GetTitledFirstName] covers all fields of study. §GCurious§!, §GConscientious§! and §GWillful§! children will do better, while §RIndolent§!, §RFussy§! and §RPlayful§! children will be hampered.;;;;;;;;;;;;;x
EDUCATION_FOCUS_POLYMATH;Education Focus: Polymath;;;;;;;;;;;;;x
EVTDESCF_ZE_14700;I have finished my education but without any clear purpose. Without guidance, I've been unable to pay much attention to any field of study and didn't do very well.;;;;;;;;;;;;;x
EVTDESCF_ZE_14710;Young [From.GetFirstName] has finished [From.GetHerHis] education. With a complete lack of guidance [From.GetSheHe] still tried [From.GetHerHis] best, but hasn't been able to pay much attention to any field of study.;;;;;;;;;;;;;x
EVTDESCAchildhood.250;I have finished my education in all fields of study. I found the lessons rather tedious and haven't been able to pay much attention.;;;;;;;;;;;;;x
EVTDESCBchildhood.250;I have finished my education in all fields of study. It is a fascinating subject.;;;;;;;;;;;;;x
EVTDESCCchildhood.250;I have finished my education in all fields of study. I find that I have some talent for it.;;;;;;;;;;;;;x
EVTDESCDchildhood.250;I have finished my education in all fields of study. I feel that I have truly found my calling.;;;;;;;;;;;;x
EVTOPTAchildhood.250;I'll go to the library if I need to know anything.;;;;;;;;;;;;;x
EVTOPTBchildhood.250;For each situation, always use the proper skill.;;;;;;;;;;;;;x
EVTOPTCchildhood.250;The more knowledge, the easier to learn new things.;;;;;;;;;;;;;x
EVTOPTDchildhood.250;Knowledge is wisdom and I know it all.;;;;;;;;;;;;;x
EVTDESCAchildhood.251;Young [From.GetFirstName] has finished [From.GetHerHis] education in all fields of study. It turned out to be a disaster, as [From.GetSheHe] wasn't paying any attention.;;;;;;;;;;;;;x
EVTDESCBchildhood.251;Young [From.GetFirstName] has finished [From.GetHerHis] education in all fields of study. It seems [From.GetSheHe] has learned basic skills in all fields.;;;;;;;;;;;;;x
EVTDESCCchildhood.251;Young [From.GetFirstName] has finished [From.GetHerHis] education in all fields of study. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;;;;;;;;;;;;;;x
EVTDESCDchildhood.251;Young [From.GetFirstName] has finished [From.GetHerHis] education in all fields of study. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;;;;;;;;;;;;;x
# Tolerant;;;;;;;;;;;;;;x
EVTDESCD_ZE_13011;I have learned about the elder races and view them as equals to humans.;;;;;;;;;;;;;x
EVTOPTD_ZE_13011;Tolerance is the key to harmony.;;;;;;;;;;;;;x
EVTDESCD_ZE_13012;Young [From.GetFirstName] seems to view all races as equal, lacking any historical perspective on the conflicts with the elder races.;;;;;;;;;;;;;x
EVTDESCD_ZE_13014;[From.GetTitledFirstName] would like me to be less naive and make more efforts to actually help others.;[From.GetTitledFirstName] souhaiterait que je tempère ma naïveté et que je fasse plus d'efforts pour venir en aide aux autres.;[From.GetTitledFirstName] meint, ich solle weniger naiv sein und mich mehr darum bemühen, anderen zu helfen.;;A [From.GetTitledFirstName] le gustaría que tuviera menos ingenuidad e hiciera más para ayudar a los demás.;;;;;;;;;x
EVTOPTE_ZE_13014;I will try.;Je ferai mon possible.;Ich werde es versuchen.;;Lo intentaré;;;;;;;;;x
# Gambler;;;;;;;;;;;;;;x
EVTDESCD_ZE_13071;I'm addicted to games - I like taking risks when I can win it all, even if sometimes it means loosing.;;;;;;;;;;;;;x
EVTOPTD_ZE_13071;I bet on my luck.;;;;;;;;;;;;;x
EVTDESCD_ZE_13072;Young [From.GetFirstName] seems to be developing an addiction to gambling.;;;;;;;;;;;;;x
EVTDESCD_ZE_13074;[From.GetTitledFirstName] does not approve of my addiction to games and decided to beat it out of me.;;;;;;;;;;;;;x
EVTOPTE_ZE_13074;I'll beat [From.GetHerHim] to [From.GetHerHis] own game.;;;;;;;;;;;;;x
# Racist;;;;;;;;;;;;;;x
EVTDESCD_ZE_13001;Humans are the superior race in this world.;;;;;;;;;;;;;x
EVTOPTD_ZE_13001;I won't tolerate these non-humans.;;;;;;;;;;;;;x
EVTDESCD_ZE_13002;Young [From.GetFirstName] is showing strong tendencies towards racist behavior.;;;;;;;;;;;;;x
EVTDESCD_ZE_13004;[From.GetTitledFirstName] disapproves of my tendencies towards racism and has told me that I should show more ambition.;;;;;;;;;;;;;x
EVTOPTE_ZE_13004;[From.GetSheHeCap] is in league with the non-humans!;;;;;;;;;;;;;x
# Reasonable;;;;;;;;;;;;;;x
EVTDESCC_ZE_13081;It's important to understand why things need to be done.;;;;;;;;;;;;;x
EVTOPTC_ZE_13081;Then you can challenge the reason.;;;;;;;;;;;;;x
EVTDESCC_ZE_13082;Young [From.GetFirstName] is easy to reason with, once things are explained.;;;;;;;;;;;;;x
EVTDESCC_ZE_13084;[From.GetTitledFirstName] thinks I should use my reasonings to find the just solution when I need to arbitrate.;;;;;;;;;;;;;x
EVTOPTD_ZE_13084;I might think about myself before justice.;;;;;;;;;;;;;x
