#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCmagic.10;I was playing when suddently my head started to hurt, everything aroung me started to look blury and there was strange swirly colors all around me.;;;;;;;;;;;;;x
EVTOPTAmagic.10;Arrrg...;;;;;;;;;;;;;x
EVTDESCmagic.11;I have noticed that sometimes strange things happens around me - objects move by themselves, some kind of swirling light engulfs me for a moment, but strangely nobody else has noticed it.;;;;;;;;;;;;;x
EVTOPTAmagic.11;I should talk to [Root.Liege.GetTitledFirstName] about it.;;;;;;;;;;;;;x
EVTDESCmagic.12;I have noticed that one of the children in [Root.Liege.GetTitledFirstName] court is a bit strange, it seems to  me that he has a talent for magic.;;;;;;;;;;;;;x
EVTOPTAmagic.12;I should examine the child closer and bring this to [Root.Liege.GetTitle]s attenion.;;;;;;;;;;;;;x
EVTDESCmagic.13;Court magician [From.GetFirstName] has been paying lots of attention to me lately. Today [From.GetSheHe] told me the reason - it seems I have a talent for magic.;;;;;;;;;;;;;x
EVTOPTAmagic.13;Oh!;;;;;;;;;;;;;x
EVTDESCmagic.14;I have noticed that one of the children in my court is a bit strange, it seems to me that he has a talent for magic.;;;;;;;;;;;;;x
EVTOPTAmagic.14;I should examine the child closer.;;;;;;;;;;;;;x
EVTDESCmagic.15;[From.GetTitledFirstName] has been paying lots of attention to me lately. Today [From.GetSheHe] told me the reason - it seems I have a talent for magic, same as [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTAmagic.15;Oh!;;;;;;;;;;;;;x
EVTDESCmagic.50;So it turns out my [GetFromRelation] [From.GetFirstName] have a magic talent. What should I do with [From.GetHerHim]?;;;;;;;;;;;;;x
EVTOPTAmagic.50;I could make [From.GetHerHim] to learn to control [From.GetHerHis] talents.;;;;;;;;;;;;;x
more_options;See more options;;;;;;;;;;;;;x
EVTOPTBmagic.50;There is nothing I can do.;;;;;;;;;;;;;x
EVTOPTCmagic.50;I will not teach a monster!;;;;;;;;;;;;;x
EVTOPTDmagic.50;Kill the abomination!;;;;;;;;;;;;;x
EVTDESCmagic.52;So it turns out my [GetFromRelation] [From.GetFirstName] have a magic talent. I could make [From.GetHerHim] to learn to control [From.GetHerHis] talents.;;;;;;;;;;;;;x
EVTOPTAmagic.52;Send [From.GetHerHim] to the Ban Ard's Magic Academy.;;;;;;;;;;;;;x
EVTOPTBmagic.52;Send [From.GetHerHim] to the Aretuza Academy.;;;;;;;;;;;;;x
EVTOPTCmagic.52;Send [From.GetHerHim] to the Nilfgaard Magic Academy.;;;;;;;;;;;;;x
EVTOPTDmagic.52;Leave [From.GetFirstName] in court magician's care.;;;;;;;;;;;;;x
EVTOPTEmagic.52;I will find someone suitable to take care of [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTFmagic.52;Seems like I will need to teach [From.GetHerHim] myself.;;;;;;;;;;;;;x
EVTOPTGmagic.52;I should consider other options.;;;;;;;;;;;;;x
EVTDESCmagic.60;After years of studying I have become a sorcerer.;;;;;;;;;;;;;x
EVTOPTAmagic.60;Ok;;;;;;;;;;;;;x
EVTDESCmagic.61;[Root.GetTitledName],\nyour [GetFromFromRelation] [FromFrom.GetFirstName] have displayed a magic talent, and after some consideratons I have decided to send the child to Ban Ard academy where [FromFrom.GetSheHe] will be able to learn to control [FromFrom.GetHerHis] talents!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.61;Ok;;;;;;;;;;;;;x
EVTDESCmagic.62;[Root.GetTitledName],\nyour [GetFromFromRelation] [FromFrom.GetFirstName] have displayed a magic talent, and after some consideratons I have decided to send the child to Aretuza academy where [FromFrom.GetSheHe] will be able to learn to control [FromFrom.GetHerHis] talents!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.62;Ok;;;;;;;;;;;;;x
EVTDESCmagic.63;[Root.GetTitledName],\nyour [GetFromFromRelation] [FromFrom.GetFirstName] have displayed a magic talent, and after some consideratons I have decided to send the child to Nilfgaard academy where [FromFrom.GetSheHe] will be able to learn to control [FromFrom.GetHerHis] talents!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.63;Ok;;;;;;;;;;;;;x
EVTDESCmagic.73;My [GetFromRelation] [FromFrom.GetFirstName] have displayed a talent for magic and knowing that you have experience with such matters, I entrust [From.GetFirstName] to your care!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.73;Ok;;;;;;;;;;;;;x
EVTDESCmagic.74;My [Root.GetTitle],\nknowing that you have experience with matters of magic, I wish to entrust my [GetFromRelation] [FromFrom.GetFirstName] to your care!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.74;Very well.;;;;;;;;;;;;;x
EVTOPTBmagic.74;I refuse.;;;;;;;;;;;;;x
EVTDESCmagic.76;[Root.GetTitledName],\nyour [GetFromFromRelation] [FromFrom.GetFirstName] have displayed a magic talent, and after some consideratons I have decided to entrust the child to someone experienced with such matters - a sorcerer. Hopefully [FromFrom.GetFirstName] will be able to learn to control [FromFrom.GetHerHis] talents!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.76;Ok;;;;;;;;;;;;;x
EVTDESCmagic.77;[Root.GetTitledName],\nyour [GetFromFromFromRelation] [FromFromFrom.GetFirstName] have displayed a magic talent, and after some consideratons I have decided to entrust the child to someone experienced with such matters - a sorcerer. Hopefully [FromFromFrom.GetFirstName] will be able to learn to control [FromFromFrom.GetHerHis] talents!\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.77;Ok;;;;;;;;;;;;;x
