#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
AI_EVENT;AI Only;AI Only;AI Only;;AI Only;;;;;;;;;x
EVTDESC100416;Your rival [From.GetBestName] is asking permission from [From.Liege.GetBestName] to duel you.;Mon rival [From.GetBestName] demande la permission à [From.Liege.GetBestName] de me provoquer en duel.;Your rival [From.GetBestName] is asking permission from [From.Liege.GetBestName] to duel you.;;Your rival [From.GetBestName] is asking permission from [From.Liege.GetBestName] to duel you.;;;;;;;;;x #here until it gets in the official patch
EVTDESCdueling.10;I accused the cheater to a duel in front of all the tournament participants, the spectators and our host, [From.Liege.GetTitledFirstName]. No cheater will get away with it!;I accused the cheater to a duel in front of all the tournament participants, the spectators and our host, [From.Liege.GetTitledFirstName]. No cheater will get away with it!;I accused the cheater to a duel in front of all the tournament participants, the spectators and our host, [From.Liege.GetTitledFirstName]. No cheater will get away with it!;;I accused the cheater to a duel in front of all the tournament participants, the spectators and our host, [From.Liege.GetTitledFirstName]. No cheater will get away with it!;;;;;;;;;x
EVTDESCdueling.1;The duel is over. Neither you nor your opponent are harmed.;Le duel est terminé. Ni vous ni ton opponent ne vous êtes fait mal.;The duel is over. Neither you nor your opponent are harmed.;;The duel is over. Neither you nor your opponent are harmed.;;;;;;;;;x
EVTOPTA100416;I see.;Je vois.;I see.;;I see.;;;;;;;;;x #here until it gets in the official patch
EVTOPTAdueling.11;I defeated the cheater and thus proved they are a cheater;I defeated the cheater and thus proved they are a cheater;I defeated the cheater and thus proved they are a cheater;;I defeated the cheater and thus proved they are a cheater;;;;;;;;;x
EVTOPTAdueling.16;I proved their guilt when my rival lay unconscious on the ground by my feet;I proved their guilt when my rival lay unconscious on the ground by my feet;I proved their guilt when my rival lay unconscious on the ground by my feet;;I proved their guilt when my rival lay unconscious on the ground by my feet;;;;;;;;;x
EVTOPTAdueling.1;Let bygones be bygones;Passons l'éponge.;Let bygones be bygones;;Let bygones be bygones;;;;;;;;;x
EVTOPTAdueling.2;Hopefully our liege won't be angry...;Espérons que notre seigneur ne sera pas fâché...;Hopefully our liege won't be angry...;;Hopefully our liege won't be angry...;;;;;;;;;x
EVTOPTAdueling.3;I'll get you next time, [From.GetOnlyDynastyName] scum!;Je t'aurais la prochaine fois, ordure [From.GetOnlyDynastyName] !;I'll get you next time, [From.GetOnlyDynastyName] scum!;;I'll get you next time, [From.GetOnlyDynastyName] scum!;;;;;;;;;x
EVTOPTB100428;I proved my innocence when my rival lay unconscious on the ground by my feet;J'ai prouvé mon innocence - mon rival git inconscient, au sol, à mes pieds.;Ich bewies meine Unschuld, als Mein Rivale mir bewusstlos zu Füßen lag;;Demostré mi inocencia cuando mi rival quedó inconsciente a mis pies;;;;;;;;;x
EVTOPTC100428;I defeated my rival and thus proved I am not a cheater;J'ai vaincu mon rival et ainsi prouvé que je n'ai jamais cédé à la tricherie.;Ich besiegte Mein Rivale und bewies damit, dass ich kein Betrüger bin;;Derroté a mi rival y, por lo tanto demostré que no soy un tramposo;;;;;;;;;x
EVTTOOLTIPA100513;has killed[Root.GetTitledFirstName] with an arrow!;has killed[Root.GetTitledFirstName] with an arrow!;has killed[Root.GetTitledFirstName] with an arrow!;;has killed[Root.GetTitledFirstName] with an arrow!;;;;;;;;;x #here until it gets in the official patch
